[13.04.2025 16:37:54] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:37:57] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '13.04.2025 16:%М:57', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[13.04.2025 16:38:00] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '13.04.2025 16:%М:00', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[13.04.2025 16:38:15] INFO     [restaurant_api] - 📋 Запрос на получение списка всех столов
[13.04.2025 16:38:17] INFO     [restaurant_api] - ➕ Попытка создания нового стола: {'name': 'Летник-3', 'seats': 3, 'location': 'Беседка'}
[13.04.2025 16:38:18] INFO     [restaurant_api] - ➕ Попытка создания нового бронирования: стол 2 на 2025-04-19 21:15:00
[13.04.2025 16:38:19] INFO     [restaurant_api] - 📋 Запрос на получение списка всех бронирований
[13.04.2025 16:38:19] ERROR    [restaurant_api] - ❌ Ошибка при получении списка бронирований: module 'app.models' has no attribute 'Reservation'
[13.04.2025 16:38:40] INFO     [restaurant_api] - 📋 Запрос на получение списка всех столов
[13.04.2025 16:39:50] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:39:54] INFO     [restaurant_api] - 📋 Запрос на получение списка всех столов
[13.04.2025 16:40:48] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:40:52] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '13.04.2025 16:%М:52', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[13.04.2025 16:40:53] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '13.04.2025 16:%М:53', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[13.04.2025 16:41:00] INFO     [restaurant_api] - 📋 Запрос на получение списка всех столов
[13.04.2025 16:41:00] INFO     [restaurant_api] - 📋 Запрос на получение списка всех столов
[13.04.2025 16:41:16] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:42:02] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:42:05] INFO     [restaurant_api] - 📋 Запрос на получение списка всех столов
[13.04.2025 16:42:17] INFO     [restaurant_api] - ➕ Попытка создания нового бронирования: стол 2 на 2025-04-19 21:15:00
[13.04.2025 16:42:20] INFO     [restaurant_api] - ➕ Попытка создания нового стола: {'name': 'Летник-3', 'seats': 3, 'location': 'Беседка'}
[13.04.2025 16:42:21] INFO     [restaurant_api] - 📋 Запрос на получение списка всех бронирований
[13.04.2025 16:42:21] ERROR    [restaurant_api] - ❌ Ошибка при получении списка бронирований: module 'app.models' has no attribute 'Reservation'
[13.04.2025 16:44:04] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:44:46] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:45:12] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:45:14] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '13.04.2025 16:%М:14', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[13.04.2025 16:45:15] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '13.04.2025 16:%М:15', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[13.04.2025 16:45:19] INFO     [restaurant_api] - 📋 Запрос на получение списка всех столов
[13.04.2025 16:45:55] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:48:03] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[13.04.2025 16:48:06] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '13.04.2025 16:%М:06', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
